Repetition,Accuracy,Precision,Recall,F1,AUC
0,0.8620689655172413,0.6875,0.5525,0.5622641509433962,0.8275000000000001
1,0.8620689655172413,0.43859649122807015,0.49019607843137253,0.46296296296296297,0.7507002801120448
2,0.8793103448275862,0.72,0.7464985994397759,0.732013201320132,0.7983193277310925
3,0.896551724137931,0.5972222222222222,0.5972222222222222,0.5972222222222222,0.8611111111111112
4,0.8793103448275862,0.7528301886792452,0.6675,0.696788648244959,0.8225
5,0.7931034482758621,0.5742296918767507,0.5600907029478458,0.565,0.6621315192743764
6,0.8448275862068966,0.665266106442577,0.6475,0.6554455445544555,0.8
7,0.7758620689655172,0.6517857142857143,0.7312925170068028,0.6685714285714286,0.8095238095238095
8,0.896551724137931,0.7878787878787878,0.6330532212885154,0.6716981132075472,0.8263305322128851
9,0.8448275862068966,0.44545454545454544,0.47115384615384615,0.45794392523364486,0.7467948717948718
