Repetition,Accuracy,Precision,Recall,F1,AUC
0,0.8846153846153846,0.7825396825396826,0.7528409090909092,0.7662921348314606,0.9090909090909092
1,0.8653846153846154,0.680952380952381,0.7065217391304348,0.6923076923076923,0.8523550724637681
2,0.8365384615384616,0.7129817444219066,0.7034883720930232,0.7080099091659785,0.8288113695090439
3,0.875,0.7444444444444445,0.596031746031746,0.6235032024505709,0.8428571428571429
4,0.9134615384615384,0.78125,0.7111436950146628,0.7393483709273183,0.895405669599218
5,0.875,0.7297165200391007,0.6865079365079365,0.70448087431694,0.8690476190476191
6,0.8653846153846154,0.7252747252747253,0.699625468164794,0.7111111111111111,0.8179775280898876
7,0.9230769230769231,0.8809523809523809,0.7028985507246377,0.7567251461988305,0.9447463768115942
8,0.8846153846153846,0.6350877192982456,0.6350877192982456,0.6350877192982456,0.847953216374269
9,0.9326923076923077,0.9128654970760234,0.7801587301587302,0.8289071680376028,0.9500000000000001
