Repetition,Accuracy,Precision,Recall,F1,AUC
0,0.8582089552238806,0.8469945355191257,0.6758393907926619,0.7149255402530512,0.9224645205953617
1,0.835820895522388,0.7450110864745011,0.621651376146789,0.6470306513409961,0.9207339449541284
2,0.8507462686567164,0.8092105263157895,0.7259615384615384,0.7541284403669725,0.8913461538461539
3,0.8805970149253731,0.7971398305084746,0.7276785714285714,0.7546910755148741,0.8863636363636364
4,0.9029850746268657,0.8506493506493507,0.8170642201834863,0.8322903629536922,0.9376146788990826
5,0.8134328358208955,0.7375,0.7320701534606953,0.7346954937831631,0.8430942687128093
6,0.8507462686567164,0.8092105263157895,0.7259615384615384,0.7541284403669725,0.9131410256410257
7,0.8432835820895522,0.7803669724770643,0.7448717948717949,0.7597951344430218,0.9038461538461539
8,0.8731343283582089,0.8469279661016949,0.7267220491519557,0.764547803617571,0.9356178608515057
9,0.8731343283582089,0.8200156678417547,0.7752695417789757,0.7941628264208909,0.8810646900269542
