Repetition,Accuracy,Precision,Recall,F1,AUC
0,0.9093959731543624,0.8461572244180939,0.8178225806451613,0.8309486290576742,0.9559677419354837
1,0.9026845637583892,0.8106302762068682,0.8269496204278812,0.8184263052841685,0.9321083505866115
2,0.8590604026845637,0.7799476243920689,0.7653357917878165,0.7722210089539201,0.9109992199134813
3,0.8959731543624161,0.8416935483870968,0.8084370677731674,0.8234428454025954,0.9194875154691708
4,0.8993288590604027,0.8496024915990492,0.8105117565698479,0.8278783211397767,0.9368857829220354
5,0.8791946308724832,0.8130863039399625,0.7877155172413793,0.7993265993265993,0.8908764367816092
6,0.9194630872483222,0.8901828847481021,0.8337514757969303,0.858061443200762,0.9576446280991736
7,0.8791946308724832,0.8101666666666667,0.7746458087367178,0.7903377110694184,0.9110832349468713
8,0.8959731543624161,0.7820260634374232,0.8200334821428572,0.7989772603633989,0.9327566964285714
9,0.9026845637583892,0.8244450748173888,0.8576454033771107,0.8394724621528745,0.9373045653533458
