Repetition,Accuracy,Precision,Recall,F1,AUC
0,0.895973154,0.815134309,0.838414634,0.82597065,0.950906817
1,0.902684564,0.84712215,0.81079235,0.827142714,0.949643291
2,0.926174497,0.873862798,0.862110026,0.867822581,0.943796142
3,0.922818792,0.876992326,0.871915265,0.874420565,0.966440999
4,0.902684564,0.857645403,0.824445075,0.839472462,0.942131764
5,0.909395973,0.813146998,0.831053352,0.821687388,0.949475604
6,0.919463087,0.881788666,0.86232493,0.871551724,0.969327731
7,0.916107383,0.87155878,0.817139001,0.840740503,0.958640946
8,0.889261745,0.857098186,0.801617696,0.824527595,0.941036646
9,0.919463087,0.890182885,0.833751476,0.858061443,0.952995868
